User,CaseStatus,DokumentType,Parent,Creator,Action,Access
ROL,LEDIG,JOURNALFOERT,SMART_DOCUMENT,KABAL_ROL,FINISH,NOT_SUPPORTED_ATTACHMENT
ROL,LEDIG,JOURNALFOERT,SMART_DOCUMENT,KABAL_ROL,REMOVE,NOT_ASSIGNED
ROL,LEDIG,JOURNALFOERT,SMART_DOCUMENT,KABAL_ROL,RENAME,NOT_SUPPORTED_JOURNALFOERT
ROL,LEDIG,JOURNALFOERT,SMART_DOCUMENT,KABAL_ROL,WRITE,NOT_SUPPORTED_JOURNALFOERT
ROL,LEDIG,JOURNALFOERT,SMART_DOCUMENT,KABAL_SAKSBEHANDLING,CHANGE_TYPE,NOT_SUPPORTED_ATTACHMENT
ROL,LEDIG,JOURNALFOERT,SMART_DOCUMENT,KABAL_SAKSBEHANDLING,FINISH,NOT_SUPPORTED_ATTACHMENT
ROL,LEDIG,JOURNALFOERT,SMART_DOCUMENT,KABAL_SAKSBEHANDLING,REMOVE,NOT_ASSIGNED
ROL,LEDIG,JOURNALFOERT,SMART_DOCUMENT,KABAL_SAKSBEHANDLING,RENAME,NOT_SUPPORTED_JOURNALFOERT
ROL,LEDIG,JOURNALFOERT,SMART_DOCUMENT,KABAL_SAKSBEHANDLING,WRITE,NOT_SUPPORTED_JOURNALFOERT
ROL,LEDIG,JOURNALFOERT,SMART_DOCUMENT,NONE,CHANGE_TYPE,NOT_SUPPORTED_ATTACHMENT
ROL,LEDIG,JOURNALFOERT,SMART_DOCUMENT,NONE,CREATE,NOT_ASSIGNED
ROL,LEDIG,JOURNALFOERT,SMART_DOCUMENT,NONE,FINISH,NOT_SUPPORTED_ATTACHMENT
ROL,LEDIG,JOURNALFOERT,SMART_DOCUMENT,NONE,REMOVE,NOT_ASSIGNED
ROL,LEDIG,JOURNALFOERT,SMART_DOCUMENT,NONE,RENAME,NOT_SUPPORTED_JOURNALFOERT
ROL,LEDIG,JOURNALFOERT,SMART_DOCUMENT,NONE,WRITE,NOT_SUPPORTED_JOURNALFOERT
ROL,LEDIG,ROL_ANSWERS,ROL_QUESTIONS,KABAL_MEDUNDERSKRIVER,CHANGE_TYPE,NOT_SUPPORTED_ROL_ANSWERS
ROL,LEDIG,ROL_ANSWERS,ROL_QUESTIONS,KABAL_MEDUNDERSKRIVER,FINISH,NOT_SUPPORTED_ROL_ANSWERS
ROL,LEDIG,ROL_ANSWERS,ROL_QUESTIONS,KABAL_MEDUNDERSKRIVER,REMOVE,NOT_ASSIGNED_ROL
ROL,LEDIG,ROL_ANSWERS,ROL_QUESTIONS,KABAL_MEDUNDERSKRIVER,RENAME,NOT_ASSIGNED_OR_ROL
ROL,LEDIG,ROL_ANSWERS,ROL_QUESTIONS,KABAL_MEDUNDERSKRIVER,WRITE,NOT_ASSIGNED_ROL
ROL,LEDIG,ROL_ANSWERS,ROL_QUESTIONS,KABAL_ROL,CHANGE_TYPE,NOT_SUPPORTED_ROL_ANSWERS
ROL,LEDIG,ROL_ANSWERS,ROL_QUESTIONS,KABAL_ROL,FINISH,NOT_SUPPORTED_ROL_ANSWERS
ROL,LEDIG,ROL_ANSWERS,ROL_QUESTIONS,KABAL_ROL,REMOVE,NOT_ASSIGNED_ROL
ROL,LEDIG,ROL_ANSWERS,ROL_QUESTIONS,KABAL_ROL,RENAME,NOT_ASSIGNED_OR_ROL
ROL,LEDIG,ROL_ANSWERS,ROL_QUESTIONS,KABAL_ROL,WRITE,NOT_ASSIGNED_ROL
ROL,LEDIG,ROL_ANSWERS,ROL_QUESTIONS,KABAL_SAKSBEHANDLING,CHANGE_TYPE,NOT_SUPPORTED_ROL_ANSWERS
ROL,LEDIG,ROL_ANSWERS,ROL_QUESTIONS,KABAL_SAKSBEHANDLING,FINISH,NOT_SUPPORTED_ROL_ANSWERS
ROL,LEDIG,ROL_ANSWERS,ROL_QUESTIONS,KABAL_SAKSBEHANDLING,REMOVE,NOT_ASSIGNED_ROL
ROL,LEDIG,ROL_ANSWERS,ROL_QUESTIONS,KABAL_SAKSBEHANDLING,RENAME,NOT_ASSIGNED_OR_ROL
ROL,LEDIG,ROL_ANSWERS,ROL_QUESTIONS,KABAL_SAKSBEHANDLING,WRITE,NOT_ASSIGNED_ROL
ROL,LEDIG,ROL_ANSWERS,ROL_QUESTIONS,NONE,CHANGE_TYPE,NOT_SUPPORTED_ROL_ANSWERS
ROL,LEDIG,ROL_ANSWERS,ROL_QUESTIONS,NONE,CREATE,NOT_ASSIGNED_ROL
ROL,LEDIG,ROL_ANSWERS,ROL_QUESTIONS,NONE,FINISH,NOT_SUPPORTED_ROL_ANSWERS
ROL,LEDIG,ROL_ANSWERS,ROL_QUESTIONS,NONE,REMOVE,NOT_ASSIGNED_ROL
ROL,LEDIG,ROL_ANSWERS,ROL_QUESTIONS,NONE,RENAME,NOT_ASSIGNED_OR_ROL
ROL,LEDIG,ROL_ANSWERS,ROL_QUESTIONS,NONE,WRITE,NOT_ASSIGNED_ROL
ROL,LEDIG,ROL_QUESTIONS,NONE,KABAL_MEDUNDERSKRIVER,CHANGE_TYPE,NOT_SUPPORTED_ROL_QUESTIONS
ROL,LEDIG,ROL_QUESTIONS,NONE,KABAL_MEDUNDERSKRIVER,FINISH,NOT_ASSIGNED
ROL,LEDIG,ROL_QUESTIONS,NONE,KABAL_MEDUNDERSKRIVER,REMOVE,NOT_ASSIGNED
